client_ipaddr,timestamp,request_method,request_url,response_code
51.15.43.205,01/Jan/2017:00:01:14 -0500,GET,/random-thoughts/godmen-leaders-and-superstars.html,200
51.15.43.205,01/Jan/2017:00:01:18 -0500,GET,/image_captcha/700739/1483246874,200
51.15.43.205,01/Jan/2017:00:01:20 -0500,POST,/comment/reply/25,200
93.160.60.32,01/Jan/2017:00:04:43 -0500,GET,/,200
43.251.164.102,01/Jan/2017:00:14:26 -0500,GET,/wp-login.php,404
43.251.164.102,01/Jan/2017:00:14:27 -0500,GET,/,200
77.75.76.168,01/Jan/2017:00:23:52 -0500,GET,/robots.txt,200
77.75.76.168,01/Jan/2017:00:24:02 -0500,GET,/vault/ruby-scripts/loops.html,200
106.51.242.190,01/Jan/2017:00:28:42 -0500,GET,/code-vault.html,200
106.51.242.190,01/Jan/2017:00:28:43 -0500,GET,/apple-touch-icon-152x152-precomposed.png,404
106.51.242.190,01/Jan/2017:00:28:44 -0500,GET,/apple-touch-icon-152x152.png,404
106.51.242.190,01/Jan/2017:00:28:46 -0500,GET,/apple-touch-icon-precomposed.png,404
106.51.242.190,01/Jan/2017:00:28:47 -0500,GET,/apple-touch-icon.png,404
106.51.242.190,01/Jan/2017:00:28:50 -0500,GET,/favicon.ico,404
106.51.242.190,01/Jan/2017:00:28:52 -0500,GET,/apple-touch-icon-152x152-precomposed.png,404
106.51.242.190,01/Jan/2017:00:28:52 -0500,GET,/apple-touch-icon-152x152.png,404
106.51.242.190,01/Jan/2017:00:28:53 -0500,GET,/apple-touch-icon-precomposed.png,404
106.51.242.190,01/Jan/2017:00:28:53 -0500,GET,/apple-touch-icon.png,404
106.51.242.190,01/Jan/2017:00:28:54 -0500,GET,/favicon.ico,404
93.160.60.32,01/Jan/2017:00:34:52 -0500,GET,/,200
180.76.15.151,01/Jan/2017:00:40:22 -0500,GET,/,200
5.164.232.151,01/Jan/2017:00:43:44 -0500,GET,/node/2/,404
5.164.232.151,01/Jan/2017:00:43:44 -0500,GET,/,200
125.16.140.50,01/Jan/2017:00:44:24 -0500,GET,/sites/all/modules/ctools/css/ctools.css?mcppxf,304
66.249.64.136,01/Jan/2017:00:44:57 -0500,GET,/blog/1/feed,200
207.46.13.148,01/Jan/2017:00:45:29 -0500,GET,/corporate-training/web-based-development-using-rubyonrails-framework.html,404
106.51.21.252,01/Jan/2017:00:56:15 -0500,GET,/training-calendar.html,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/system/system.base.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/system/system.menus.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/system/system.messages.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/system/system.theme.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/comment/comment.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/aggregator/aggregator.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/sites/all/modules/date/date_repeat_field/date_repeat_field.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/sites/all/modules/date/date_popup/themes/datepicker.1.7.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/sites/all/modules/date/date_api/date.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/node/node.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/search/search.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/field/theme/field.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/modules/user/user.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/sites/all/modules/views/css/views.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/sites/all/modules/ctools/css/ctools.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/styles/shThemeDefault.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/styles/shCore.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:16 -0500,GET,/sites/all/modules/ckeditor/ckeditor.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/themes/adaptivetheme/adaptivetheme/css/at.base.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/themes/adaptivetheme/adaptivetheme/css/at.layout.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/themes/adaptivetheme/adaptivetheme/css/at.messages.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/themes/pixture_reloaded/css/pixture_reloaded.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/default/files/color/pixture_reloaded-146a6f0f/colors.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/themes/pixture_reloaded/css/pixture_reloaded.settings.style.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/themes/pixture_reloaded/css/pixture_reloaded.responsive.style.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/themes/pixture_reloaded/css/pixture_reloaded.responsive.gpanels.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/default/files/at_css/pixture_reloaded.responsive.layout.css?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/misc/jquery.js?v=1.4.4,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/misc/jquery.once.js?v=1.2,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/misc/drupal.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shCore.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushBash.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushCpp.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushCss.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushDiff.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushGroovy.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:17 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushJava.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushPerl.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushPhp.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushRuby.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushPython.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushSql.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/all/libraries/syntaxhighlighter_3.0.83/scripts/shBrushXml.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/all/modules/syntaxhighlighter/syntaxhighlighter.min.js?mcppxf,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/default/files/color/pixture_reloaded-146a6f0f/header-tile.png,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/default/files/color/pixture_reloaded-146a6f0f/header.png,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/default/files/color/pixture_reloaded-146a6f0f/menu-tile.png,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/default/files/color/pixture_reloaded-146a6f0f/bg-wall.png,200
106.51.21.252,01/Jan/2017:00:56:18 -0500,GET,/sites/all/themes/pixture_reloaded/images/ts/grid.png,200
106.51.21.252,01/Jan/2017:00:56:24 -0500,GET,/favicon.ico,404
180.76.15.5,01/Jan/2017:00:58:31 -0500,GET,/taxonomy/term/13,200
125.16.140.50,01/Jan/2017:01:01:38 -0500,GET,/modules/node/node.css?mcppxf,304
125.16.140.50,01/Jan/2017:01:06:50 -0500,GET,/sites/all/modules/date/date_api/date.css?mcppxf,304
51.254.159.166,01/Jan/2017:01:07:35 -0500,GET,/random-thoughts/our-thoughts-do-not-belong-to-us.html,200
51.254.159.166,01/Jan/2017:01:07:40 -0500,POST,/comment/reply/24,403
40.77.167.63,01/Jan/2017:01:09:18 -0500,GET,/training.html,200
